,swl_code,swl_description,swl_unit,belongs_to,swl_metacode,swl_source,code,code_long_name,code_system,version,ucum_unit,validated
186,UURO,Urophorphyrin (Urin),ug/l,0,emptyvalue,emptyvalue,32216-4,Uroporphyrin [Mass/volume] in 24 hour Urine,http://loinc.org,2.42,ug/L,X
187,Uuro,Uroporphyrin (Urin),ug/d,Urinchemie,emptyvalue,emptyvalue,3113-8,Uroporphyrin [Mass/time] in 24 hour Urine,http://loinc.org,2.44,ug/(24.h),X
188,UTYRO,Tyrosin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25996-0,Tyrosine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mol&#123;creat},X
189,UTRYP,Tryptophan (Urin) [Fremdlabor],µmol/mmolC,Urinchemie,emptyvalue,emptyvalue,25994-5,Tryptophan/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
190,UTRI,Tricarboxyporphyrin (Urin),ug/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
191,Utri,Tricarboxyporphyrin (Urin),ug/d,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
193,UTP,Protein (Stix),emptyvalue,Urinstreifen,emptyvalue,emptyvalue,20454-5,Protein [Presence] in Urine by Test strip,http://loinc.org,2.56,emptyvalue,X
198,UTOXR,Urin-Toxikologie Rechtsmedizin [Fremdlabor],emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
200,UTL,Thallium (Urin) [Fremdlabor],µg/l,#NV,emptyvalue,emptyvalue,21558-2,Thallium [Mass/volume] in 24 hour Urine,http://loinc.org,2.70,ug/L,X
201,UTHRE,Threonin (Urin) [Fremdlabor],µmol/mmolC,#NV,emptyvalue,emptyvalue,25989-5	,Threonine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
203,UTCA,Triz.Antidepr. (Urin),emptyvalue,#NV,emptyvalue,emptyvalue,6799-1,Tricyclic antidepressants [Presence] in Urine by Immunoassay,http://loinc.org,2.56,emptyvalue,X
204,UTAU,Taurin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25985-3,Taurine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
208,USULF,Sulfittest (Urin) [Fremdlabor],emptyvalue,Urinstreifen,emptyvalue,emptyvalue,58457-3,Sulfites [Presence] in Urine by Test strip,http://loinc.org,2.56,emptyvalue,X
211,USTD,Harnsammeldauer,h,Urinchemie,emptyvalue,emptyvalue,13362-9,Collection duration of Urine,http://loinc.org,2.38,h,X
213,USGSU,Harndichte (Sammelurin),g/cm3,Urinchemie,emptyvalue,emptyvalue,2966-0,Specific gravity of 24 hour Urine,http://loinc.org,2.26,g/cm3,X
214,USG10,Harndichte (Stix),emptyvalue,Urinstreifen,emptyvalue,emptyvalue,5811-5,Specific gravity of Urine by Test strip,http://loinc.org,2.69,emptyvalue,X
216,USg,Harndichte (Stix),g/cm3,Urinchemie,emptyvalue,emptyvalue,50562-8,Specific gravity of Urine by Refractometry automated,http://loinc.org,2.69,g/cm3,X
217,USERI,Serin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25980-4,Serine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
218,USED,Urinsediment,emptyvalue,Urinsediment,emptyvalue,emptyvalue,12235-8,Microscopic observation [Identifier] in Urine sediment by Light microscopy,http://loinc.org,2.78,emptyvalue,emptyvalue
219,USE,Selen (Urin) [Fremdlabor],µg/l,Spurenelemente,emptyvalue,emptyvalue,47976-6,Selenium [Mass/volume] in 24 hour Urine,http://loinc.org,2.70,ug/L,X
220,USARC,Sarcosin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25978-8,Sarcosine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mol&#123;creat},X
222,USAM,Harnvolumen,ml,Urindiagnostik,emptyvalue,emptyvalue,9192-6,Urine output 24 hour,http://loinc.org,2.56,mL/(24.h),X
223,UROP,Uroporphyrin (Plasma),µg/dl,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,14274-5,Uroporphyrin [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ug/dL,X
228,URO,Urobilinogen (Stix),emptyvalue,Urinstreifen,emptyvalue,emptyvalue,13658-0,Urobilinogen [Presence] in Urine,http://loinc.org,2.70,emptyvalue,X
229,UREL,Urinelektrophorese,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
230,URED,Reduktionsprobe (Urin),emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
234,URATS,Urate (Sed.),/GF,Urinsediment,emptyvalue,emptyvalue,46138-4,Urate crystals [#/area] in Urine sediment by Microscopy high power field,http://loinc.org,2.40,/[HPF],X
235,UPS,Gesamt-Porphyrine (Urin) [Fremdlabor],µg/L,Urinchemie,emptyvalue,emptyvalue,56970-7,Porphyrins [Mass/volume] in 24 hour Urine,http://loinc.org,2.63,ug/L,X
236,Ups,Gesamt-Porphyrine (Sammelurin) [Fremdlabor],µg/d,Urinchemie,emptyvalue,emptyvalue,10885-2,Porphyrins [Mass/time] in 24 hour Urine,http://loinc.org,2.40,ug/(24.h),X
237,UPROTO,Protoporpyrin (Urin),ug/l,#NV,emptyvalue,emptyvalue,50368-0,Protoporphyrin [Mass/volume] in 24 hour Urine,http://loinc.org,2.70,ug/L,X
238,Uproto,Protoporpyrin (Urin),ug/d,Urinchemie,emptyvalue,emptyvalue,50372-2,Protoporphyrin [Mass/time] in 24 hour Urine,http://loinc.org,2.70,ug/(24.h),X
239,UPROSPQ,Protein /g Kreatinin (Spontanurin),g/g Krea,Urinchemie,emptyvalue,emptyvalue,2890-2,Protein/Creatinine [Mass Ratio] in Urine,http://loinc.org,2.70,g/g&#123;creat},X
240,UPROSP,Protein (Spontanurin),g/l,Urinchemie,emptyvalue,emptyvalue,2888-6,Protein [Mass/volume] in Urine,http://loinc.org,2.70,g/L,X
241,UPROL,Prolin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25976-2,Proline/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mol&#123;creat},X
242,UPRO-KR,Protein /g Kreatinin,mg/g Krea,Urinchemie,emptyvalue,emptyvalue,13801-6,Protein/Creatinine [Mass Ratio] in 24 hour Urine,http://loinc.org,2.70,mg/g&#123;creat},X
243,UPRO,Protein (Urin),g/l,Urinchemie,emptyvalue,emptyvalue,21482-5,Protein [Mass/volume] in 24 hour Urine,http://loinc.org,2.70,g/L,X
245,Upro,Protein Tagesausscheidung,g/d,Urinchemie,emptyvalue,emptyvalue,2889-4,Protein [Mass/time] in 24 hour Urine,http://loinc.org,2.70,g/(24.h),X
246,UPOR,Porphobilinogen (Urin) [Fremdlabor],mg/L,Urinchemie,emptyvalue,emptyvalue,24446-7,Porphobilinogen [Mass/volume] in Urine,http://loinc.org,2.40,mg/L,X
247,Upor,Porphobilinogen (Urin) [Fremdlabor],mg/d,#NV,emptyvalue,emptyvalue,2810-0,Porphobilinogen [Mass/time] in 24 hour Urine,http://loinc.org,2.42,mg/(24.h),X
248,UPNAG,Pneumokokken Antigen [Fremdlabor],emptyvalue,Bakteriologie,emptyvalue,emptyvalue,24027-5,Streptococcus pneumoniae Ag [Presence] in Urine,http://loinc.org,2.56,emptyvalue,X
249,UPHOSPQ,Phosphat /mol Kreatinin (Spontanurin),mol/mol Krea,Urinchemie,emptyvalue,emptyvalue,34354-1,Phosphate/Creatinine [Molar ratio] in Urine,http://loinc.org,2.42,mol/mol&#123;creat},X
250,UPHOSP,Phosphat (Spontanurin),mmol/l,Urinchemie,emptyvalue,emptyvalue,13539-2,Phosphate [Moles/volume] in Urine,http://loinc.org,2.70,mmol/L,X
251,UPHOS,Phosphoserin (Urin) [Fremdlabor],µmol/mmolC,#NV,emptyvalue,emptyvalue,25974-7,Phosphoserine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
253,UPHO,Phosphat (Urin),mmol/l,Urinchemie,emptyvalue,emptyvalue,25973-9,Phosphate [Moles/volume] in 24 hour Urine,http://loinc.org,2.70,mmol/L,X
254,Upho,Phosphat (Urin),mmol/d,Urinchemie,emptyvalue,emptyvalue,14881-7,Phosphate [Moles/time] in 24 hour Urine,http://loinc.org,2.70,mmol/(24.h),X
257,UPHI,pH-Wert (Urin) für Toxikologie,emptyvalue,Toxikologie Sonstiges,emptyvalue,emptyvalue,2756-5,pH of Urine,http://loinc.org,2.75,emptyvalue,X
258,UPHET,Phosphoethanolamin (Urin) [Fremdlabor],µmol/mmolC,emptyvalue,emptyvalue,emptyvalue,44351-5,Phosphoethanolamine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
260,UPHC2,Phencyclidin (Urin),emptyvalue,Toxikologie Sonstiges,emptyvalue,emptyvalue,3936-2,Phencyclidine [Presence] in Urine,http://loinc.org,2.73,emptyvalue,X
264,UPHC,Phencyclidin (Urin),emptyvalue,Toxikologie Sonstiges,emptyvalue,emptyvalue,19659-2,Phencyclidine [Presence] in Urine by Screen method,http://loinc.org,2.73,emptyvalue,X
269,UPH,pH (Stix),emptyvalue,Urinstreifen,emptyvalue,emptyvalue,5803-2,pH of Urine by Test strip,http://loinc.org,2.52,[pH],X
271,UPENTA,Pentacarboxyporphyrin (Urin),ug/l,Urinchemie,emptyvalue,emptyvalue,42002-6,Pentacarboxylporphyrins [Mass/volume] in 24 hour Urine,http://loinc.org,2.42,ug/L,X
272,Upenta,Pentacarboxyporphyrin (Urin),ug/d,Urinchemie,emptyvalue,emptyvalue,9730-3,Pentacarboxylporphyrins [Mass/time] in 24 hour Urine,http://loinc.org,2.40,ug/(24.h),X
273,UPB,Blei (Urin) [Fremdlabor],µg/l,Toxikologie Sonstiges,emptyvalue,emptyvalue,20625-0,Lead [Mass/volume] in 24 hour Urine,http://loinc.org,2.70,ug/L,X
274,Upb,Blei (Urin) [Fremdlabor],µg/d,Toxikologie Sonstiges,emptyvalue,emptyvalue,5677-0,Lead [Mass/time] in 24 hour Urine,http://loinc.org,2.40,ug/(24.h),X
275,UPAPA,PAP-Zytologie (Urin) [Fremdlabor],emptyvalue,Zytologie,emptyvalue,emptyvalue,11070-0,Microscopic observation [Identifier] in Urine by Cyto stain,http://loinc.org,2.38,emptyvalue,X
276,UPALA,Phenylalanin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25970-5,Phenylalanine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mol&#123;creat},X
277,UOXALSP,Oxalat Urin [Fremdlabor],mg/l,Urinchemie,emptyvalue,emptyvalue,2700-3,Oxalate [Mass/volume] in Urine,http://loinc.org,2.73,mg/L,X
279,UOXALKRE,Oxalat / Creatinin [Fremdlabor],mg/g Krea,emptyvalue,emptyvalue,emptyvalue,13483-3,Oxalate/Creatinine [Mass Ratio] in Urine,http://loinc.org,2.73,mg/g&#123;creat},X
280,Uoxal,Oxalat im Sammelurin[Fremdlabor],mg/d,emptyvalue,emptyvalue,emptyvalue,2701-1,Oxalate [Mass/time] in 24 hour Urine,http://loinc.org,2.73,mg/(24.h),X
281,UOSMSP,Osmolalitaet (Spontanurin),mosmol/kg,Urinchemie,emptyvalue,emptyvalue,2695-5,Osmolality of Urine,http://loinc.org,2.70,mosm/kg,X
282,UOSM480,Osmolalität (Urin) 480 min,mosmol/kg,Urinchemie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,mosm/kg,X
283,UOSM360,Osmolalität (Urin) 360 min,mosmol/kg,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,mosm/kg,X
284,UOSM240,Osmolalität (Urin) 240 min,mosmol/kg,Urinchemie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,mosm/kg,X
285,UOSM120,Osmolalität (Urin) 120 min,mosmol/kg,Urinchemie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,mosm/kg,X
286,UOSM0,Osmolalität (Urin) 0 min,mosmol/kg,Urinchemie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,2.40,mosm/kg,X
288,UOSM,Osmolalitaet (Urin),mosmol/kg,Urinchemie,emptyvalue,emptyvalue,2694-8,Osmolality of 24 hour Urine,http://loinc.org,2.70,mosm/kg,X
290,UOROT,Orotsäure (Urin) [Fremdlabor],emptyvalue,#NV,emptyvalue,emptyvalue,30480-8,Orotate [Presence] in Urine,http://loinc.org,2.56,emptyvalue,X
291,UORNI,Ornithin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25966-3,Ornithine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
292,UOP2,Opiate (Urin),emptyvalue,Urin-Screening,emptyvalue,emptyvalue,3879-4,Opiates [Presence] in Urine,http://loinc.org,2.73,emptyvalue,X
296,UOP,Opiate (Urin),emptyvalue,Urin-Screening,emptyvalue,emptyvalue,3879-4,Opiates [Presence] in Urine,http://loinc.org,2.56,emptyvalue,X
303,UOADFV,Orale Antidiabetika im Urin [Fremdlabor],mg/g Krea,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
304,UNORFV,Noradrenalin (Urin) [Fremdlabor],nmol/l,Hormone,emptyvalue,emptyvalue,25963-0,Norepinephrine [Moles/volume] in 24 hour Urine,http://loinc.org,2.34,nmol/L,X
305,UNOR,Noradrenalin (Urin),nmol/l,Hormone,emptyvalue,emptyvalue,25963-0,Normetanephrine [Moles/volume] in 24 hour Urine,http://loinc.org,2.34,nmol/L,X
306,Unor,Noradrenalin (Urin) Tagesausscheidung,nmol/d,Hormone,emptyvalue,emptyvalue,14854-4,Norepinephrine [Moles/time] in 24 hour Urine,http://loinc.org,2.40,nmol/(24.h),X
307,UNMP22,Nukleäres Matrixprotein (Urin) [Fremdlabor],U/ml,Tumormarker,emptyvalue,emptyvalue,31134-0,Nuclear matrix protein 22 [Units/volume] in Urine,http://loinc.org,2.70,U/mL,X
308,UNMNFV,Normetanephrin / Creatinin (Urin) [Fremdlabor],µg/g Crea,emptyvalue,emptyvalue,emptyvalue,44342-4,Normetanephrine/Creatinine [Mass Ratio] in Urine,http://loinc.org,2.73,ug/g&#123;creat},X
309,UNMN,Normetanephrin (Urin),nmol/l,Tumormarker,emptyvalue,emptyvalue,25964-8,Normetanephrine [Moles/volume] in 24 hour Urine,http://loinc.org,2.42,nmol/L,X
310,Unmn,Normetanephrin(Urin),nmol/d,Klinische Chemie,emptyvalue,emptyvalue,15083-9,Normetanephrine [Moles/time] in 24 hour Urine,http://loinc.org,2.40,nmol/(24.h),X
311,UNKLa,Unklassifizierte Zellen (abs.),G/l,Blutbild,emptyvalue,Mikroskop,51585-8,Other cells [#/volume] in Blood by Manual count,http://loinc.org,2.70,10*9/L,X
312,UNKL,Unklassifizierte Zellen,%,Blutbild,emptyvalue,Mikroskop,51586-6,Other cells/100 leukocytes in Blood by Manual count,http://loinc.org,2.70,%,X
318,UNIT,Nitrit (Stix),emptyvalue,Urinstreifen,emptyvalue,emptyvalue,5802-4,Nitrite [Presence] in Urine by Test strip,http://loinc.org,2.70,emptyvalue,X
320,UNICO,Nicotin (Urin) [Fremdlabor],µg/l,Toxikologie Sonstiges,emptyvalue,emptyvalue,3854-7,Nicotine [Mass/volume] in Urine,http://loinc.org,2.38,ug/L,X
321,UNIC,Tabak-Alkaloíde im Urin [Fremdlabor],emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
322,UNEO,Neopterin (Urin),µmol/molKrea,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,umol/mol&#123;creat},X
323,UNEo,Neopterin (Spontanurin),µmol/molKrea,#NV,emptyvalue,emptyvalue,47711-7,Neopterin/Creatinine [Molar ratio] in Urine,http://loinc.org,2.70,umol/mol&#123;creat},X
324,UNASPQ,Natrium /mol Kreatinin (Spontanurin),mol/mol Krea,Urinchemie,emptyvalue,emptyvalue,33951-5,Sodium/Creatinine [Molar ratio] in Urine,http://loinc.org,2.70,mol/mol&#123;creat},X
325,UNASP,Natrium (Spontanurin),mmol/l,Urinchemie,emptyvalue,emptyvalue,2955-3,Sodium [Moles/volume] in Urine,http://loinc.org,2.70,mmol/L,X
326,UNAG,NAG (Urin) [Fremdlabor],U/l,Urinchemie,emptyvalue,emptyvalue,33354-2,N-acetyl-beta-glucosaminidase [Enzymatic activity/volume] in Urine,http://loinc.org,2.70,U/L,X
327,UNA,Natrium (Urin),mmol/l,Urinchemie,emptyvalue,emptyvalue,21525-1,Sodium [Moles/volume] in 24 hour Urine,http://loinc.org,2.70,mmol/L,X
328,Una,Natrium (Urin) Tagesauscheidung,mmol/d,Urinchemie,emptyvalue,emptyvalue,2956-1,Sodium [Moles/time] in 24 hour Urine,http://loinc.org,2.70,mmol/(24.h),X
329,UMYOG,Myoglobin (Urin) [Fremdlabor],ng/ml,Urinchemie,emptyvalue,emptyvalue,2641-9,Myoglobin [Mass/volume] in Urine,http://loinc.org,2.70,ng/mL,X
330,UMYO,Myoglobin (Urin),µg/l,Urinchemie,emptyvalue,emptyvalue,2641-9,Myoglobin [Mass/volume] in Urine,http://loinc.org,2.70,ug/L,X
332,UMORP,"Morphin,frei (Urin) [Fremdlabor]",µg/l,Toxikologie Sonstiges,emptyvalue,emptyvalue,3829-9,Morphine Free [Mass/volume] in Urine,http://loinc.org,2.42,ug/L,X
333,UMNFV,Metanephrin / Creatinin (Urin) [Fremdlabor],µg/g Crea,emptyvalue,emptyvalue,emptyvalue,35644-4,Metanephrine/Creatinine [Mass Ratio] in 24 hour Urine,http://loinc.org,2.73,ug/g&#123;creat},X
334,UMN,Metanephrin (Urin),nmol/l,Hormone,emptyvalue,emptyvalue,25955-6,Metanephrine [Moles/volume] in 24 hour Urine,http://loinc.org,2.42,nmol/L,X
335,Umn,Metanephrin (Urin) Tagesausscheidung,nmol/d,Hormone,emptyvalue,emptyvalue,11140-1,Metanephrine [Moles/time] in 24 hour Urine,http://loinc.org,2.40,nmol/(24.h),X
336,Umhista,Methylhistamin [Fremdlabor],µg/24h,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/(24.h),emptyvalue
337,UMGSP,Magnesium (Spontanurin),mmol/l,Urinchemie,emptyvalue,emptyvalue,2598-1,Magnesium [Moles/volume] in Urine,http://loinc.org,2.70,mmol/L,X
338,UMG,Magnesium (Urin),mmol/l,Urinchemie,emptyvalue,emptyvalue,25954-9,Magnesium [Moles/volume] in 24 hour Urine,http://loinc.org,2.70,mmol/L,X
339,Umg,Magnesium (Urin) Tagesausscheidung,mmol/d,Urinchemie,emptyvalue,emptyvalue,2599-9,Magnesium [Moles/time] in 24 hour Urine,http://loinc.org,2.40,mmol/(24.h),X
340,UMETHI,Methionin (Urin) [Fremdlabor],µmol/mmolC,#NV,emptyvalue,emptyvalue,25958-0,Methionine sulfoxide/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,mmol/mmol&#123;creat},X
341,UMET2,Methadon (Urin),emptyvalue,Toxikologie Sonstiges,emptyvalue,emptyvalue,3773-9,Methadone [Presence] in Urine,http://loinc.org,2.73,emptyvalue,X
347,UMET,Methadon (Urin),emptyvalue,Urin-Screening,emptyvalue,emptyvalue,3773-9,Methadone [Presence] in Urine,http://loinc.org,emptyvalue,emptyvalue,X
350,UMEQ,Methaqualon (Urin),emptyvalue,#NV,emptyvalue,emptyvalue,3786-1,Methaqualone [Presence] in Urine,http://loinc.org,2.56,emptyvalue,X
351,UMAM,Methamphetamin (Urin),emptyvalue,Urin-Screening,emptyvalue,emptyvalue,3779-6,Methamphetamine [Presence] in Urine,http://loinc.org,2.56,emptyvalue,X
354,ULYSI,Lysin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25953-1,Lysine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
356,ULEZ,Leuko. (Urin-Kammer),M/L,emptyvalue,emptyvalue,emptyvalue,20408-1,Leukocytes [#/volume] in Urine by Test strip,http://loinc.org,2.75,emptyvalue,X
357,ULEUC,Leucin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25942-4,Leucine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
361,ULEU,Leuko (Stix),emptyvalue,Urinstreifen,emptyvalue,emptyvalue,5799-2,Leukocyte esterase [Presence] in Urine by Test strip,http://loinc.org,2.70,emptyvalue,X
363,ULAMBF,"Lambda Leichtketten, freie (Urin)",mg/l,Urinchemie,emptyvalue,emptyvalue,53574-0,Lambda light chains.free [Mass/volume] in 24 hour Urine,http://loinc.org,2.70,mg/L,X
364,Ulam,"Lambda-LK, frei + geb. (Urin)",mg/d,Urinchemie,emptyvalue,emptyvalue,25684-2,Lambda light chains [Mass/time] in 24 hour Urine,http://loinc.org,2.63,mg/(24.h),X
365,UKSPQ,Kalium /mol Kreatinin (Spontanurin),mol/mol Krea,Urinchemie,emptyvalue,emptyvalue,33949-9,Potassium/Creatinine [Molar ratio] in Urine,http://loinc.org,2.70,mol/mol&#123;creat},X
366,UKSP,Kalium (Spontanurin),mmol/l,Urinchemie,emptyvalue,emptyvalue,2828-2,Potassium [Moles/volume] in Urine,http://loinc.org,2.70,mmol/L,X
367,UKRESP,Kreatinin (Spontanurin),mg/dl,Urinchemie,emptyvalue,emptyvalue,2161-8,Creatinine [Mass/volume] in Urine,http://loinc.org,2.70,mg/dL,X
368,UKREAI,Urin-Kreatinin für Urintox.,mg/dl,Urinchemie,emptyvalue,emptyvalue,2161-8,Creatinine [Mass/volume] in Urine,http://loinc.org,2.70,mg/dL,X
369,UKRE,Kreatinin (Urin),mg/dl,Urinchemie,emptyvalue,emptyvalue,20624-3,Creatinine [Mass/volume] in 24 hour Urine,http://loinc.org,2.70,mg/dL,X
370,Ukre,Kreatinin Tagesausscheidung,g/d,Urinchemie,emptyvalue,emptyvalue,2162-6,Creatinine [Mass/time] in 24 hour Urine,http://loinc.org,2.70,g/(24.h),X
371,UKOPRO,Koproporpyrin (Urin),ug/l,#NV,emptyvalue,emptyvalue,20623-5,Coproporphyrin [Mass/volume] in 24 hour Urine,http://loinc.org,2.70,ug/mL,X
372,Ukopro,Koproporpyrin (Urin),ug/d,#NV,emptyvalue,emptyvalue,2137-8,Coproporphyrin [Mass/time] in 24 hour Urine,http://loinc.org,2.40,ug/(24.h),X
373,UKOB,Kobalt (Urin) [Fremdlabor],µg/l,#NV,emptyvalue,emptyvalue,5628-3,Cobalt [Mass/volume] in Urine,http://loinc.org,2.42,ug/L,X
374,UKLQ,Kappa/Lambda-Quot. (Urin),emptyvalue,#NV,emptyvalue,emptyvalue,49908-7,Kappa light chains/Lambda light chains [Mass Ratio] in 24 hour Urine,http://loinc.org,2.63,emptyvalue,X
375,UKLFQ,"Quotient Kappa/Lambda,freie",emptyvalue,#NV,emptyvalue,emptyvalue,49553-1,Kappa light chains.free/Lambda light chains.free [Mass Ratio] in 24 hour Urine,http://loinc.org,2.63,emptyvalue,X
378,UKET,Ketone (Stix),emptyvalue,Urinstreifen,emptyvalue,emptyvalue,2514-8,Ketones [Presence] in Urine by Test strip,http://loinc.org,2.70,emptyvalue,X
382,UKAPF,"Kappa Leichtketten, freie (Urin)",mg/l,#NV,emptyvalue,emptyvalue,43940-6,Kappa light chains.free [Mass/volume] in 24 hour Urine,http://loinc.org,2.70,mg/L,X
383,UK,Kalium (Urin),mmol/l,Urinchemie,emptyvalue,emptyvalue,21476-7,Potassium [Moles/volume] in 24 hour Urine,http://loinc.org,2.70,mmol/L,X
384,Uk,Kalium (Urin) Tagesausscheidung,mmol/d,Urinchemie,emptyvalue,emptyvalue,2829-0,Potassium [Moles/time] in 24 hour Urine,http://loinc.org,2.70,mmol/(24.h),X
385,UJOD,Jod (Sammelurin) [Fremdlabor],µg/g Crea,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/g&#123;creat},X
386,UISOL,Isoleucin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25939-0,Isoleucine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
388,UIL6,Interleukin 6 (Urin),ng/l,Klinische Chemie,emptyvalue,emptyvalue,49732-1,Interleukin 6 [Mass/volume] in Body fluid,http://loinc.org,2.34,ng/L,X
389,UIGGP,IgG (Spontanurin),mg/l,emptyvalue,emptyvalue,emptyvalue,33415-1,IgG [Mass/volume] in Urine,http://loinc.org,2.73,mg/L,X
390,UIGG-KR,IgG /g Kreatinin,mg/g Krea,Urinchemie,emptyvalue,emptyvalue,33948-1,IgG/Creatinine [Mass Ratio] in Urine,http://loinc.org,2.70,mg/g&#123;creat},X
391,UIGG,IgG (Urin),mg/l,Urinchemie,emptyvalue,emptyvalue,47083-1,IgG [Mass/volume] in 24 hour Urine,http://loinc.org,2.73,mg/L,X
393,Uigg,IgG Tagesausscheidung,mg/d,Urinchemie,emptyvalue,emptyvalue,55923-7,IgG [Mass/time] in 24 hour Urine,http://loinc.org,2.70,mg/(24.h),X
394,UHYPR,Hydroxyprolin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,13996-4,Hydroxyproline/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.70,umol/mmol&#123;creat},X
395,UHYDRO,Hydroxylysin (Urin) [Fremdlabor],µmol/mmolC,#NV,emptyvalue,emptyvalue,25933-3,Hydroxylysine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
396,UHYDR,Hydrazin (Urin) [Fremdlabor],µg/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/L,X
397,UHYD,Hydroxyprolin (Urin),umol/d,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,14785-0,Hydroxyproline [Moles/time] in 24 hour Urine,http://loinc.org,2.44,umol/(24.h),X
398,UHVAFV,Homovanillinsäure (Urin)[Fremdlabor],mg/g Krea,emptyvalue,emptyvalue,emptyvalue,13760-4,Homovanillate/Creatinine [Mass Ratio] in 24 hour Urine,http://loinc.org,2.73,mg/g&#123;creat},X
399,UHVA,Homovanillinsäure (Urin),µmol/l,#NV,emptyvalue,emptyvalue,25930-9,Homovanillate [Moles/volume] in 24 hour Urine,http://loinc.org,2.42,umol/L,X
